"Supplemental Table S2. Mean, minimum, maximum, standard deviation (SD) and coefficient of variation (CV) of percent canopy cover at 50 GDD intervals, rate of canopy development between 50 GDD intervals, and for each trait averaged across growth stages. Percent of variance explained (PVE) by factors influencing percent canopy cover at 50 GDD intervals, rate of canopy development between 50 GDD intervals, and PVE for each trait averaged across growth stages. Insignificant factors (p > .05) are asterisked. Mean, minimum, maximum, standard deviation (SD) and coefficient of variation (CV) of the sum across environments of absolute value of GxE interaction (AVAMGE) modeled by an additive main-effects and multiplicative interaction (AMMI) model for genotypes using percent canopy cover at 50 GDD intervals, rate of canopy development between 50 GDD intervals, and each trait averaged across growth stages. Mean, minimum, maximum, standard deviation (SD) and coefficient of variation (CV) of Finley-Wilkinson (FW) regression coefficients for genotypes using percent canopy cover at 50 GDD intervals, rate of canopy development between 50 GDD intervals, and each trait averaged across growth stages",,,,,,,,,,,,,,,,,,,,,,,
Trait,Growing Degree Day,Mean Canopy Cover (%),Minimum Canopy Cover (%),Maximum Canopy Cover (%),SD Canopy Cover (%),CV Canopy Cover (%),Genotype PVE (%),Environment PVE (%),GxE PVE (%),Replication PVE (%),Block PVE (%),Residual PVE (%),Heritability,Mean AVAMGE,Minimum AVAMGE,Maximum AVAMGE,SD AVAMGE,CV AVAMGE,Mean FW Slope,Minimum FW Slope,Maximum FW Slope,SD FW Slope,CV FW Slope
Percent ,300,2.9,0.1,9.7,1.5,51.3,47.5,5.2,24.6,0.1*,1.2,21.4,0.78,0.02,0.00,0.07,0.01,55.8,0.99,0.36,1.72,0.26,26.7
Percent ,350,4.2,0.2,13.6,1.9,45.5,52.3,2.3,26.7,0.1*,1.0,17.7,0.84,0.03,0.00,0.11,0.02,55.6,0.91,-1.75,4.55,1.17,128.1
Percent ,400,5.6,0.2,20.7,2.5,44.6,49.8,7.9,25.2,0.5,0.8,15.8,0.81,0.03,0.00,0.13,0.02,57.9,0.97,-0.52,3.05,0.68,70.1
Percent ,450,7.8,0.7,25.5,3.5,45.3,43.3,15.0,25.0,0.7,0.9,15.1,0.69,0.05,0.01,0.20,0.03,53.6,1.00,0.30,2.46,0.34,34.5
Percent ,500,11.7,1.3,35.0,4.8,40.8,42.7,20.5,23.6,0.6,0.6,12.0,0.68,0.07,0.00,0.27,0.04,55.1,1.00,0.44,1.76,0.23,23.3
Percent ,550,15.4,1.3,36.5,6.4,41.5,36.0,33.3,20.2,0.4,0.3,9.8,0.65,0.09,0.01,0.31,0.04,50.5,1.00,0.56,1.44,0.15,14.8
Percent ,600,18.1,1.3,40.4,7.8,43.1,32.0,40.0,18.4,0.3,0.2,9.0,0.59,0.10,0.00,0.36,0.05,50.3,1.00,0.55,1.45,0.15,15.4
Percent ,650,20.8,1.2,45.4,8.1,38.8,33.6,37.5,19.1,0.4,0.3,9.1,0.63,0.11,0.01,0.38,0.05,50.9,1.00,0.61,1.33,0.12,11.7
Percent ,700,24.8,0.9,52.6,9.1,36.8,30.8,42.9,17.1,0.5,0.3,8.3,0.59,0.11,0.01,0.39,0.06,51.2,1.00,0.69,1.22,0.08,8.4
Percent ,750,29.1,0.9,60.8,11.1,38.2,25.6,51.0,14.9,0.5,0.3,7.7,0.49,0.13,0.01,0.42,0.07,52.9,1.00,0.74,1.23,0.07,7.1
Percent ,800,34.5,1.2,71.3,12.7,36.8,25.2,50.6,15.3,0.4,0.4,8.1,0.48,0.15,0.01,0.47,0.08,55.0,1.00,0.81,1.23,0.06,6.3
Percent ,850,39.8,1.5,76.3,14.7,36.8,23.1,55.0,13.7,0.3,0.3,7.6,0.44,0.16,0.01,0.52,0.09,54.9,1.00,0.77,1.17,0.07,6.5
Percent ,900,43.6,2.7,82.6,14.7,33.8,23.0,54.6,13.8,0.3,0.2,8.0,0.44,0.16,0.01,0.50,0.09,53.8,1.00,0.73,1.21,0.08,7.5
Percent ,950,47.7,4.4,84.5,13.3,27.9,25.9,47.7,16.3,0.4,0.2,9.5,0.50,0.16,0.01,0.43,0.09,53.0,1.00,0.70,1.26,0.08,8.1
Percent ,1000,52.1,6.2,83.7,11.6,22.3,31.1,34.9,21.2,0.5,0.2*,12.2,0.59,0.16,0.01,0.41,0.08,52.3,1.00,0.74,1.29,0.08,7.7
Percent ,1050,55.8,7.7,83.6,10.6,19.0,35.4,23.7,25.2,0.5,0.2,14.9,0.66,0.16,0.01,0.43,0.08,52.7,1.00,0.79,1.25,0.07,6.6
Percent ,1100,58.4,8.5,84.9,9.8,16.8,39.4,15.8,27.4,0.6,0.2,16.6,0.73,0.15,0.00,0.46,0.08,52.5,1.00,0.79,1.25,0.06,6.4
Percent ,1150,59.6,9.9,87.3,9.4,15.8,40.1,15.3,27.2,0.6,0.3,16.4,0.75,0.14,0.01,0.45,0.08,52.8,1.00,0.77,1.23,0.07,7.1
Percent ,1200,60.8,13.3,88.9,9.0,14.9,40.8,15.2,26.5,0.5,0.3,16.7,0.76,0.14,0.00,0.42,0.07,52.1,1.00,0.74,1.25,0.08,7.6
Percent ,1250,63.1,14.6,89.1,9.0,14.2,39.4,18.0,25.3,0.5,0.4,16.4,0.73,0.11,0.01,0.43,0.07,58.0,1.00,0.75,1.18,0.07,6.6
Percent ,1300,64.8,17.0,90.9,8.2,12.7,41.9,13.9,26.8,0.6,0.4,16.5,0.77,0.11,0.01,0.46,0.06,58.5,1.00,0.82,1.30,0.07,6.6
Percent ,Juvenile Veg.,5.4,0.1,25.5,3.2,59.7,48.2,7.6,25.4,0.3,1.0,17.5,0.78,0.04,0.00,0.20,0.03,59.3,1.00,-1.75,4.54,0.11,66.5
Percent ,Adult Veg.,34.8,0.9,84.9,18.8,54.1,31.1,39.0,18.9,0.5,0.3,10.2,0.58,0.13,0.00,0.52,0.08,69.4,0.97,0.44,1.76,0.65,11.1
Percent ,Reproductive,62.1,9.9,90.9,9.1,14.7,40.6,15.6,26.4,0.6,0.3,16.5,0.75,0.12,0.00,0.46,0.07,56.5,1.00,0.74,1.30,0.07,70.0
Rate,300-350,0.03,-0.02,0.10,0.01,55.0,44.6,4.6,30.4,1.6,0.3,18.4,0.67,0.02,0.00,0.09,0.01,63.7,0.97,-0.36,3.30,0.62,63.7
Rate,350-400,0.03,-0.03,0.16,0.02,61.1,33.0,23.2,23.1,2.2,0.3,18.2,0.51,0.02,0.00,0.07,0.01,63.6,0.99,0.03,2.27,0.49,49.2
Rate,400-450,0.04,0.00,0.27,0.04,97.7,19.8,60.4,12.8,1.0,0.3,5.6,0.05,0.04,0.00,0.20,0.03,81.3,1.00,0.22,2.33,0.39,39.0
Rate,450-500,0.08,-0.01,0.23,0.04,54.9,20.4,54.2,15.6,1.0,0.5,8.4,0.32,0.05,0.01,0.17,0.03,56.5,1.00,0.70,1.25,0.11,10.8
Rate,500-550,0.08,-0.06,0.24,0.06,74.3,12.8,70.2,10.6,0.5,0.2,5.6,0.13,0.05,0.00,0.17,0.03,53.1,1.00,0.60,1.36,0.14,14.3
Rate,550-600,0.05,-0.03,0.17,0.03,65.3,15.4,59.3,16.4,0.7,0.3,8.0,0.17,0.04,0.00,0.20,0.03,61.9,1.00,0.74,1.33,0.11,10.7
Rate,600-650,0.05,-0.02,0.15,0.03,60.4,14.7,60.4,15.2,0.8,0.1*,8.8,0.15,0.04,0.00,0.23,0.02,66.6,1.00,0.62,1.19,0.08,8.3
Rate,650-700,0.08,-0.02,0.20,0.04,53.6,16.1,46.2,21.2,0.4,0.3,15.8,0.19,0.06,0.00,0.19,0.03,55.9,1.00,0.83,1.13,0.05,4.9
Rate,700-750,0.09,-0.02,0.37,0.06,71.6,11.7,62.7,15.9,0.2,0.3,9.2,0.08,0.07,0.00,0.27,0.05,82.6,1.00,0.60,1.42,0.14,13.7
Rate,750-800,0.11,-0.01,0.34,0.05,45.3,19.1,40.0,25.1,0.2,0.5,15.1,0.26,0.07,0.00,0.26,0.05,76.9,1.00,0.76,1.19,0.07,7.0
Rate,800-850,0.11,0.01,0.37,0.07,67.7,11.5,71.0,10.3,0.0*,0.1*,7.1,0.06,0.06,0.00,0.22,0.04,61.4,1.00,0.41,1.63,0.20,20.0
Rate,850-900,0.08,-0.03,0.17,0.03,44.5,17.0,48.4,21.4,0.1*,0.5,12.6,0.10,0.04,0.00,0.20,0.03,71.9,1.00,0.87,1.13,0.04,4.4
Rate,900-950,0.08,-0.04,0.26,0.05,59.1,14.6,55.5,18.4,0.1*,0.4,11.0,0.17,0.06,0.00,0.30,0.04,78.3,1.00,0.62,1.39,0.14,13.8
Rate,950-1000,0.09,-0.03,0.24,0.06,71.9,12.6,66.4,11.8,0.0*,0.2,8.9,0.14,0.06,0.00,0.23,0.04,54.9,1.00,0.77,1.20,0.08,8.0
Rate,1000-1050,0.08,-0.06,0.20,0.05,69.1,13.6,65.6,11.4,0.0*,0.1*,9.3,0.15,0.05,0.01,0.15,0.03,51.8,1.00,0.83,1.17,0.06,5.7
Rate,1050-1100,0.05,-0.07,0.42,0.05,93.0,14.4,31.7,35.4,1.3,0.1*,17.1,0.04,0.06,0.00,0.42,0.07,129.0,0.99,-0.61,3.42,0.63,63.6
